timestamp,user_id,target
1593145497948,1091737884925677568,1.2763634514351104e+18
1593145500406,921546971298529281,1.276234148701778e+18
1593145500280,14940723,1.2762003180075336e+18
1593145502134,1272115483396001798,1.2762080026982646e+18
1593145503934,2619929569,
1593145505023,114365869,1.276363764271444e+18
1593145508266,15935164,1.2761038850531901e+18
1593145512498,828151448,1.2758508785290158e+18
1593145515286,1097565138985590785,
1593145516900,4752707640,
1593145516987,406055929,1.2763505871232287e+18
1593145517276,399090696,
1593145517934,850037354,1.2763505871232287e+18
1593145518285,107810622,1.2754059016760607e+18
1593145519126,43746727,1.2761038850531901e+18
1593145522059,741902099613548544,1.2763634514351104e+18
1593145523111,905441983702810624,1.2763634514351104e+18
1593145526200,1116697179433791488,
1593145526264,2902421211,
1593145529084,505691717,1.276363764271444e+18
1593145530019,97223485,1.2761929734374482e+18
1593145533125,3000633886,1.276234148701778e+18
1593145534890,1024581824385835008,1.2763665303856005e+18
1593145539446,2416479315,1.2762855181001318e+18
1593145539917,418335176,
1593145541521,2833102958,1.2757656247198597e+18
1593145547794,167413240,1.276175821846139e+18
1593145550916,2864191036,1.276348674591916e+18
1593145551025,81756769,
1593145553947,1471490844,
1593145557910,2312487827,1.2728652557823386e+18
1593145562098,280241003,1.276269206003241e+18
1593145565781,360387627,
1593145570289,1509443935,1.2763505871232287e+18
1593145570895,1150436030056714241,1.2762855181001318e+18
1593145573780,2387625990,
1593145574281,903458777495515136,1.2763665303856005e+18
1593145578025,65141699,1.276234148701778e+18
1593145579478,24631193,1.2763608942727946e+18
1593145581965,1049628596673736704,1.2763608942727946e+18
1593145588765,3689059701,1.276370748920279e+18
1593145590368,245790402,1.2761997863419412e+18
1593145590860,721637114434052096,
1593145592056,1252420793683849216,
1593145594763,1098193168808509440,
1593145595325,763298066401259521,1.2763634514351104e+18
1593145601982,20025712,1.2761038850531901e+18
1593145605941,145667940,1.2762442441859768e+18
1593145612495,1267776220625764352,1.2758560317012582e+18
1593145614882,8287732,1.2762855181001318e+18
1593145615786,1217144322,1.2761997863419412e+18
1593145619212,132091131,1.2761929734374482e+18
1593145619635,4039667352,
1593145629222,2960045220,1.2763505871232287e+18
1593145630037,4130169438,1.2763592641398333e+18
1593145632331,997770996,
1593145632439,1259609760242044931,1.276348674591916e+18
